head,relation,tail
location_1716_9196,produces,solar_energy
location_4644_1033,hasSolarPotential,255.0
location_5051_6847,hasSolarPotential,255.0
location_4148_2978,hasSolarPotential,255.0
location_2215_3046,hasSolarPotential,255.0
location_13837_3844,produces,solar_energy
location_13894_9060,hasSolarPotential,255.0
location_6177_6879,produces,solar_energy
location_2637_1462,hasSolarPotential,206.0
location_11013_3714,produces,solar_energy
location_11901_5333,hasSolarPotential,242.0
location_7285_3872,hasSolarPotential,255.0
location_10133_3734,hasSolarPotential,255.0
location_13710_3570,hasSolarPotential,255.0
location_10812_8492,produces,solar_energy
location_11310_6700,produces,solar_energy
location_2532_9212,produces,solar_energy
location_7542_381,produces,solar_energy
location_3701_1635,produces,solar_energy
location_2689_3560,hasSolarPotential,255.0
location_12286_5971,hasSolarPotential,232.0
location_536_7319,hasSolarPotential,255.0
location_9730_3836,hasSolarPotential,255.0
location_10020_2958,produces,solar_energy
location_1185_9410,hasSolarPotential,255.0
location_2558_6658,produces,solar_energy
location_8428_8946,produces,solar_energy
location_5426_9445,produces,solar_energy
location_4082_8574,hasSolarPotential,255.0
location_9299_3359,produces,solar_energy
location_6702_7873,produces,solar_energy
location_1268_140,produces,solar_energy
location_12907_9340,hasSolarPotential,255.0
location_7593_7311,hasSolarPotential,255.0
location_4138_6270,produces,solar_energy
location_5097_7215,hasSolarPotential,255.0
location_5527_8372,hasSolarPotential,255.0
location_12592_9253,produces,solar_energy
location_6740_3736,produces,solar_energy
location_2621_932,hasSolarPotential,206.0
location_10145_2158,hasSolarPotential,255.0
location_4393_5950,hasSolarPotential,255.0
location_3877_2630,produces,solar_energy
location_8903_621,hasSolarPotential,255.0
location_7553_6099,hasSolarPotential,255.0
location_2758_2084,hasSolarPotential,245.0
location_13248_7399,produces,solar_energy
location_2669_9059,produces,solar_energy
location_4400_7253,hasSolarPotential,255.0
location_1664_6520,produces,solar_energy
location_13667_6518,produces,solar_energy
location_5349_1132,hasSolarPotential,255.0
location_8536_3058,hasSolarPotential,255.0
location_9529_557,produces,solar_energy
location_10923_5970,produces,solar_energy
location_10910_4759,produces,solar_energy
location_3245_5372,produces,solar_energy
location_5411_1737,hasSolarPotential,255.0
location_12505_7395,hasSolarPotential,255.0
location_659_1593,hasSolarPotential,255.0
location_7457_7562,produces,solar_energy
location_12342_8728,hasSolarPotential,255.0
location_7041_8728,hasSolarPotential,255.0
location_1662_1796,produces,solar_energy
location_12314_32,produces,solar_energy
location_10214_9115,produces,solar_energy
location_2520_9143,hasSolarPotential,255.0
location_7046_456,hasSolarPotential,255.0
location_11703_5359,hasSolarPotential,242.0
location_10186_3705,produces,solar_energy
location_4420_7463,produces,solar_energy
location_10682_9002,produces,solar_energy
location_1521_7060,hasSolarPotential,255.0
location_13865_7618,hasSolarPotential,255.0
location_4857_4732,produces,solar_energy
location_5276_2466,produces,solar_energy
location_4875_9175,produces,solar_energy
location_10605_5959,produces,solar_energy
location_9669_5987,produces,solar_energy
location_10658_2104,produces,solar_energy
location_3783_6406,hasSolarPotential,255.0
location_535_2012,produces,solar_energy
location_6462_8094,produces,solar_energy
location_1990_2053,produces,solar_energy
location_385_4489,produces,solar_energy
location_4322_4325,produces,solar_energy
location_6449_6836,hasSolarPotential,195.0
location_7644_6633,produces,solar_energy
location_8790_5967,produces,solar_energy
location_10381_1530,produces,solar_energy
location_695_6927,hasSolarPotential,255.0
location_4356_6684,hasSolarPotential,255.0
location_11868_633,hasSolarPotential,255.0
location_12362_8691,hasSolarPotential,255.0
location_14156_3234,produces,solar_energy
